,ID,Reached_3w,Reached_3m,Tenure_In_Months,Date_Joined,FUA_Balance,Number_Of_Services,Has_Payroll,Income,Has_Investment,Has_Visa,VISA_balance,Has_mortgage,Has_Deposit,Number_Transactions,Age,City,Unnamed: 17
0,2613,0,0,3,7/15/2020,944.35,2,1,,0,0,0,0,1,45,49,SURREY                                                                                              ,
1,3382,1,1,3,1/21/2021,1589.61,2,0,,0,1,676.3478734,0,1,25,69,PENDER ISLAND                                                                                       ,
2,3927,1,1,3,8/14/2020,1000,3,1,,0,1,326.5567662,0,1,0,59,BURNABY                                                                                             ,
3,4065,1,1,3,6/26/2020,219.41,1,0,,0,1,0,0,1,0,71,VANCOUVER                                                                                           ,
4,4221,0,0,3,12/18/2020,76.09,1,0,,0,1,1315.930929,0,1,66,65,VANCOUVER                                                                                           ,
5,6261,0,0,3,12/18/2020,1965.48,2,0,,1,1,1879.864962,0,1,0,67,COQUITLAM                                                                                           ,
6,6896,0,0,3,8/19/2020,24352.46,4,0,,1,1,0,0,1,49,34,DELTA                                                                                               ,
7,7121,1,1,3,12/10/2020,4015.01,2,1,,0,1,0,0,1,4,58,VANCOUVER                                                                                           ,
8,12411,1,1,3,2/6/2021,44.3,1,1,,0,1,0,0,1,0,34,SURREY                                                                                              ,
9,13063,0,0,3,4/6/2020,698591.6412,1,1,,0,1,235.5424492,1,1,22,46,NORTH BAY                                                                                           ,
10,13568,0,0,3,6/10/2020,545363.245,4,0,,0,1,0,1,1,34,70,SURREY                                                                                              ,
11,14150,0,0,3,6/8/2020,462693.1882,1,1,,1,0,0,1,1,0,54,VANCOUVER                                                                                           ,
12,14765,1,1,3,8/8/2020,545,3,0,,0,1,0,0,1,0,50,SURREY                                                                                              ,
13,16022,1,1,3,2/1/2021,66798.52,6,0,,1,1,76.48051914,0,1,4,41,VICTORIA                                                                                            ,
14,20010,0,0,3,2/9/2021,3778.77,2,0,,0,1,1780.099169,0,1,88,63,SURREY                                                                                              ,
15,20245,1,1,3,11/2/2020,1408.63,1,1,,0,1,1824.682157,0,1,1,48,LIONS BAY                                                                                           ,
16,21098,0,0,3,7/30/2020,0,1,0,,0,1,0,0,1,0,57,SURREY                                                                                              ,
17,22194,1,1,3,9/3/2020,1000,2,1,,1,0,0,0,1,1,50,SURREY                                                                                              ,
18,22491,0,0,3,2/18/2021,35785.31,1,1,,1,0,0,0,1,0,54,SURREY                                                                                              ,
19,23916,0,0,3,5/15/2020,408007.9864,1,1,,0,1,0,1,1,21,61,MISSION                                                                                             ,
20,27481,0,0,3,4/15/2020,250000,2,0,,0,1,0,0,1,0,62,PORT MOODY                                                                                          ,
21,28995,1,1,3,6/13/2020,1005.5,1,1,60179.85092,1,1,2439.940048,0,1,22,65,PORT COQUITLAM                                                                                      ,
22,32196,0,0,3,9/10/2020,1300.53,2,0,,1,0,0,0,1,5,53,SURREY                                                                                              ,
23,33474,1,1,3,1/16/2021,447.78,1,0,,0,1,0,0,1,16,42,BRACKENDALE                                                                                         ,
24,34604,0,0,3,8/26/2020,988.16,1,0,,1,1,0,0,1,2,35,VANCOUVER                                                                                           ,
25,35212,0,0,3,6/22/2020,3368.77,2,1,,0,0,0,0,1,48,41,SURREY                                                                                              ,
26,37170,0,0,3,6/16/2020,44.23,1,0,,0,1,0,0,1,0,36,BURNABY                                                                                             ,
27,39588,0,0,3,12/2/2020,14270.2,2,1,,0,1,0,0,1,41,71,VANCOUVER                                                                                           ,
28,39723,0,0,3,5/22/2020,1462.71,1,0,,0,1,0,0,1,2,54,RICHMOND                                                                                            ,
29,41267,0,0,3,2/10/2021,300902.47,3,0,,0,1,50.91379142,0,1,99,59,LANGLEY                                                                                             ,
30,44050,0,0,3,5/26/2020,1488.25,2,0,,0,1,0,0,1,81,53,BONNINGTON                                                                                          ,
31,45723,0,0,3,11/4/2020,2297.63,1,0,,1,1,1244.538948,0,1,10,54,PORT MOODY                                                                                          ,
32,52231,1,1,3,1/6/2021,1008579.95,2,1,,0,1,484.5639509,0,1,0,54,SURREY                                                                                              ,
33,52975,0,0,3,2/3/2021,1240.72,2,0,,0,1,2404.307417,0,1,0,53,BURNABY                                                                                             ,
34,53324,1,1,3,12/2/2020,270.01,1,1,,0,1,2051.849459,0,1,6,62,COQUITLAM                                                                                           ,
35,53756,0,0,3,4/21/2020,470987.0621,1,0,,0,0,0,1,1,11,57,WEST VANCOUVER                                                                                      ,
36,54313,0,0,3,6/8/2020,702.05,1,0,,1,1,0,0,1,2,32,BURNABY                                                                                             ,
37,55716,1,1,3,8/21/2020,524018.5,6,1,,0,1,0,0,1,144,68,BURNABY                                                                                             ,
38,57154,0,0,3,7/20/2020,356.29,1,0,,0,1,668.5957468,0,1,44,53,COQUITLAM                                                                                           ,
39,57975,0,0,3,9/15/2020,40470.18,3,0,,0,0,0,0,1,22,61,BURNABY                                                                                             ,
40,58411,0,0,3,5/28/2020,1297,1,0,,0,1,0,0,1,2,66,VANCOUVER                                                                                           ,
41,58428,0,0,3,2/3/2021,7458.06,3,0,,1,1,0,0,1,5,58,SURREY                                                                                              ,
42,58643,0,0,3,2/4/2021,1000,1,0,,1,1,0,0,1,0,42,RICHMOND                                                                                            ,
43,62086,0,0,3,4/23/2020,439715.4264,1,1,,0,0,0,1,1,6,76,PORT COQUITLAM                                                                                      ,
44,63192,1,1,3,8/19/2020,495,1,0,,0,1,0,0,1,0,46,COQUITLAM                                                                                           ,
45,66163,0,0,3,2/9/2021,942077.89,3,1,197118.0382,0,1,609.0171116,0,1,9,52,SURREY                                                                                              ,
46,67105,1,1,3,3/26/2020,502000.04,2,1,,1,1,0,0,1,0,32,VICTORIA                                                                                            ,
47,67145,1,1,3,12/4/2020,75.15,1,1,,0,1,46.12517619,0,1,2,89,VANCOUVER                                                                                           ,
48,70046,0,0,3,2/13/2021,4209.53,5,0,,1,1,1183.889188,0,1,16,58,CHILLIWACK                                                                                          ,
49,74046,0,0,3,2/18/2021,5200.5,1,1,,0,1,0,0,1,3,35,SIDNEY                                                                                              ,
50,74167,1,1,3,6/30/2020,11400.64,1,0,,0,0,0,0,1,0,41,TSAWWASSEN                                                                                          ,
51,75442,1,1,3,6/24/2020,332408.74,2,0,,0,0,0,0,1,0,49,ABBOTSFORD                                                                                          ,
52,75524,0,0,3,5/4/2020,408007.1191,1,1,,0,1,1088.192912,1,1,68,39,NEW WESTMINSTER                                                                                     ,
53,80032,0,0,3,11/4/2020,2000,3,1,,0,0,0,0,1,0,51,VANCOUVER                                                                                           ,
54,80366,1,1,3,4/7/2020,679936.7034,5,0,,0,1,2255.516751,1,1,0,42,DELTA                                                                                               ,
55,81507,1,1,3,6/19/2020,199718.71,3,1,,0,1,833.1123151,0,1,22,66,SURREY                                                                                              ,
56,82304,1,1,3,8/5/2020,1129398.55,4,1,,0,1,0,0,1,1,79,BURNABY                                                                                             ,
57,84921,0,0,3,2/18/2021,1100064.71,4,1,,1,1,0,0,1,1,41,PORT COQUITLAM                                                                                      ,
58,85009,1,1,3,12/8/2020,384.26,2,0,,0,1,0,0,1,6,45,WEST VANCOUVER                                                                                      ,
59,86470,1,1,3,8/11/2020,640165,3,0,,1,1,2176.980189,0,1,0,47,SURREY                                                                                              ,
