ID,Reached_3w,Reached_3m,Tenure_In_Months,Date_Joined,FUA_Balance,Number_Of_Services,Has_Payroll,Income,Has_Investment,Has_Visa,VISA_balance,Has_mortgage,Has_Deposit,Number_Transactions,Age,City
9556672,0,1,6,6/20/2020,49907.23505,6,0,NA,0,0,0,0,1,2,54,LANGLEY                                                                                             
7671094,0,0,6,7/29/2020,10702.4498,2,0,NA,0,1,0,0,1,20,68,VANCOUVER                                                                                           
5261655,0,0,6,8/10/2020,704362.9772,1,0,NA,0,0,0,0,1,0,48,NORTH VANCOUVER                                                                                     
8042348,0,0,6,6/18/2020,413309.4291,3,1,NA,1,0,0,0,1,0,67,COQUITLAM                                                                                           
5159745,1,0,6,2/6/2021,41268.42368,1,1,NA,1,0,0,0,1,0,60,VANCOUVER                                                                                           
8900058,1,0,6,2/4/2021,37208.09109,3,1,NA,0,0,0,0,1,3,64,GABRIOLA                                                                                            
9650401,0,0,6,9/11/2020,3862.990294,2,0,NA,0,1,42.56105272,0,1,0,47,ABBOTSFORD                                                                                          
853946,0,0,6,8/5/2020,484674.5895,7,0,NA,0,1,619.9066858,0,1,17,50,DELTA                                                                                               
6903671,0,0,6,1/13/2021,53407.58284,1,1,NA,1,1,0,0,1,15,67,NEW WESTMINSTER                                                                                     
6100210,0,0,6,12/3/2020,21688.2386,3,1,NA,0,0,0,0,1,9,54,VANCOUVER                                                                                           
1849205,1,0,6,5/8/2020,542555.3466,1,0,NA,1,1,1786.642497,0,1,3,48,BURNABY                                                                                             
4539053,1,0,6,4/1/2020,436299.3252,4,1,NA,1,1,301.3985505,0,1,3,41,SURREY                                                                                              
7177101,1,0,6,6/9/2020,46540.78664,1,0,NA,0,1,0,0,1,5,34,LANGLEY                                                                                             
304971,0,0,6,4/26/2020,481758.5752,5,1,NA,0,1,0,0,1,0,55,ALDERGROVE                                                                                          
9058250,1,0,6,4/16/2020,46381.33054,1,1,NA,1,1,2099.32497,0,1,162,49,SURREY                                                                                              
4169020,0,0,6,1/5/2021,27281.06383,1,0,NA,0,1,0,0,1,15,53,VANCOUVER                                                                                           
3455214,0,0,6,4/25/2020,503250.9035,2,1,NA,1,1,2516.467395,0,1,62,49,COQUITLAM                                                                                           
4743763,0,0,6,6/8/2020,530860.0474,3,1,NA,0,0,0,0,1,0,59,NANAIMO                                                                                             
9807553,0,0,6,7/14/2020,5198.847458,4,1,NA,0,1,0,0,1,7,50,NORTH VANCOUVER                                                                                     
1584746,0,0,6,9/9/2020,456869.7318,4,0,NA,0,0,0,0,1,0,80,DELTA                                                                                               
231393,0,0,6,7/21/2020,61901.4417,3,0,NA,0,0,0,0,1,22,63,COQUITLAM                                                                                           
5113956,0,0,6,2/10/2021,41376.93462,7,1,NA,0,0,0,0,1,7,50,VICTORIA                                                                                            
2173237,1,0,6,4/20/2020,16754.24838,1,0,NA,0,0,0,0,1,1,54,NANAIMO                                                                                             
8417324,0,1,6,7/31/2020,6965.163371,2,1,NA,0,1,1988.608544,0,1,58,68,SURREY                                                                                              
